company_name,ticker,first_trade_date
G Squared Ascend II Inc Cl A,GSQB,1628170200
Direct Selling Acquisition Corp Cl A,DSAQ,1636727400
Bankwell Financial,BWFG,1270474200
Profound Medical Corp,PROF,1572355800
Impel Pharmaceuticals Inc,IMPL,1619184600
Target Global Acquisition I Corp Cl A,TGAA,1643725800
Jowell Global Ltd,JWEL,1615987800
Ptc Inc,PTC,629130600
Armada Acquisition Corp I,AACI,1636554600
Weight Watchers International Inc,WW,1005834600
Store Capital Corp,STOR,1416321000
Blackrock Capital Allocation Trust,BCAT,1601040600
Qualtrics International Inc Cl A,XM,1611844200
US Preferred Stock Ishares ETF,PFF,1175261400
John Hancock Hedged Eqty & Inc,HEQ,1306503000
MFA Financial Inc,MFA,892474200
Signa Sports United N.V.,SSU,1601040600
Tristar Acquisition I Corp Cl A,TRIS,1638801000
American Airlines Gp,AAL,1127827800
Garrett Motion Inc,GTX,1537191000
Cohen & Steers Total Return Realty Fund,RFI,760977000
Kazia Therapeutics Ltd ADR,KZIA,915633000
China Jojo Drugstore,CJJD,1254403800
Dennys Corp,DENN,884269800
Ricebran Technologie,RIBT,1065015000
Rumble Inc,RUM,1618407000
Limoneira Company,LMNR,1065533400
Exponential Technologies Ishares ETF,XT,1427117400
Capri Holdings Ltd,CPRI,1323959400
Firstsrvce Sub VT Sh,FSV,1433251800
Variable Rate Investment Grade Invesco,VRIG,1474551000
Chembio Diagnostics,CEMI,971875800
Skillsoft Corp,SKIL,1564147800
Ovid Therapeutics Inc,OVID,1493991000
Sonder Holdings Inc,SOND,1615815000
Costar Group Inc,CSGP,899299800
Medallion Fin Cp,MFIN,832858200
Southwest Airlines Company,LUV,315671400
Alpha Tau Medical Ltd Cl A,DRTS,1615213800
Symbotic Inc,SYM,1615300200
Highpeak Energy Inc,HPK,1527600600
Afc Gamma Inc,AFCG,1616160600
Unilever Plc ADR,UL,322842600
GX Hydrogen ETF,HYDR,1626269400
Nuveen Minnesota Municipal Inco,NMS,1412775000
Selective Ins Group,SIGI,322151400
Upland Software Inc,UPLD,1415284200
Ouster Inc,OUST,1602250200
Ishares Global Green Bond ETF,BGRN,1543329000
Grifols S.A. ADR,GRFS,1307021400
Bioplus Acquisition Corp Cl A,BIOS,1643380200
V S E Cp,VSEC,404141400
Pra Group Inc,PRAA,1036765800
Sandy Spring Bancorp,SASR,765725400
Invesco California Value Muni Income,VCV,739719000
Exact Sciences Cor,EXAS,981037800
Signature Bank,SBNY,1080052200
Greenlight Cap. Re.,GLRE,1180013400
Legg Clearbridge Large Cap Groowth ETF,LRGE,1496237400
Huya Inc ADR,HUYA,1526045400
Apptech Corp,APCX,1370352600
Pathward Financial Inc,CASH,748531800
Fortive Corp,FTV,1467725400
Wisdomtree Int Rate US Agg Bond Fund,AGZD,1387377000
Evoke Pharma,EVOK,1380115800
Zeta Global Holdings Corp Cl A,ZETA,1623331800
First Trust/Aberdeen Global Opportunity,FAM,1101306600
Velo3D Inc,VLD,1611585000
First Savings Financ,FSFG,1223472600
Homeowners Choice,HCI,1221485400
Honda Motor Company ADR,HMC,322151400
Harbor All-Weather Inflation Focus ETF,HGER,1644503400
Sofi Web 3 ETF,TWEB,1660138200
Cleanspark Inc,CLSK,1479306600
Fox Factory Cp,FOXF,1375968600
Univest Corp of Penn,UVSP,892733400
Arqit Quantum Inc,ARQQ,1617283800
Silver Spike Acquisition Corp II Cl A,SPKB,1620221400
KBR Inc,KBR,1163687400
Millerknoll Inc,MLKN,322151400
Axs 1.5X Pypl Daily ETF,PYPT,1657805400
Humanigen Inc,HGEN,1359642600
Realty Income Corp,O,782487000
Jx Luxventure Ltd,JXJT,1362666600
Interface Inc,TILE,419178600
Wex Inc,WEX,1108564200
Kimberly-Clark Corp,KMB,322151400
Intermediate-Term Corp Bond Ishares ETF,IGIB,1168525800
Dlocal Ltd Cl A,DLO,1622727000
Intercure Ltd,INCR,1548685800
Shaw Communications Inc,SJR,899299800
Quantasing Group Ltd ADR,QSG,1674657000
Superior Uniform Group,SGC,99153000
Ross Acquisition Corp II Cl A,ROSS,1620048600
CS X-Links Crude Oil Covered Call ETN,USOI,1493213400
Advisorshares Dorsey Wright Fsm US Core,DWUS,1577457000
Aequi Acquisition Corp,ARBG,1610375400
Southern Company Series 2020A 4.95%,SOJD,1579012200
The Travelers Companies Inc,TRV,185466600
Eni S.P.A. ADR,E,817569000
Legacy Housing Corp,LEGH,1544797800
Teleflex Inc,TFX,322151400
First Wave Biopharma Inc,FWBI,1476192600
Leafly Hldgs Inc,LFLY,1576247400
Aeterna Zentaris,AEZS,957965400
China Alphadex Fund FT,FCA,1303392600
Nutrien Ltd,NTR,1514903400
Kaival Brands Innovations Group Inc,KAVL,1610116200
Novanta Inc,NOVT,922285800
CSI Compressco,CCLP,1308144600
Carrols Rstrnt Group,TAST,1166193000
US Fallen Angels Ishares ETF,FALN,1466515800
Idacorp Inc,IDA,99153000
Cocrystal Pharma Inc,COCP,1329921000
European Wax Center Cl A,EWCZ,1628170200
Siyata Mobile Inc,SYTA,1601040600
Zimmer Biomet Holdings,ZBH,996067800
Entravision Communications Corp,EVC,965223000
Nuveen Muni,NMI,578755800
Computer Programs,CPSI,1021987800
Knot Offshore Partners LP,KNOP,1365600600
American Vanguard Corp,AVD,541780200
Mcbc Holdings,MCFT,1437139800
Nuveen Core Equity Alpha Fund,JCE,1175088600
Sobr Safe Inc,SOBR,1238765400
GX Telemedicine & Digital Health ETF,EDOC,1596115800
Renovorx Inc,RNXT,1629984600
Eaton Vance Tax-Managed Diversified,ETY,1164724200
Mogo Inc,MOGO,1494941400
Civista Bncshrs,CIVB,765639000
Hive Blockchain Technologies Ltd,HIVE,1296657000
Jeffs Brands Ltd,JFBR,1661520600
Truecar Inc,TRUE,1400247000
Taro Pharm Inds,TARO,400858200
Motorsport Games Inc Cl A,MSGM,1610548200
Infinite Acquisition Corp Cl A,NFNT,1641825000
Marketwise Inc,MKTW,1600090200
Coeur Mining Inc,CDE,322151400
Axonics Inc,AXNX,1540992600
Midwest Holding Inc,MDWT,1608215400
Bed Bath & Beyond,BBBY,707751000
Cosmos Health Inc,COSM,1279891800
Tortoise Energy Infrastructure Corp,TYG,1077719400
Quoin Pharmaceuticals Ltd ADR,QNRX,1470058200
Geospace Technologie,GEOS,880122600
Silgan Holdings,SLGN,855930600
Tekla Healthcare Investors,HQH,546183000
Otis Worldwide Corp,OTIS,1584624600
Ameris Bancorp,ABCB,769354200
Bellicum Pharma Comm,BLCM,1418913000
Luokung Technology Corp,LKCO,1547562600
Casa Systems Inc,CASA,1513348200
Armstrong World Industries Inc,AWI,1161178200
Banco Latinoamericano DE Comercio,BLX,717341400
Central Fed Cp,CFBK,915028200
Newell Rubbermaid Inc,NWL,322151400
The Chefs Warehouse,CHEF,1311859800
Ncs Multistage Holdings Inc,NCSM,1493386200
Northern Star Investment Corp III Cl A,NSTC,1619098200
Coherus Bio,CHRS,1415284200
Epicquest Education Group Intl Ltd,EEIQ,1616592600
BRT Realty Trust,BRT,105283800
Viq Solutions Inc,VQS,1348579800
Pear Therapeutics Inc,PEAR,1617197400
Boxlight Corp Cl A,BOXL,1512052200
Invesco Emerging Markets ETF,ISEM,1536845400
Vtv Theraptcs Cl A,VTVT,1438263000
T-Mobile US,TMUS,1176989400
Bs 2029 High Yield Corp Bond ETF,BSJT,1631712600
Regenxbio Inc,RGNX,1442496600
Aura Biosciences Inc,AURA,1635514200
Apogee Entrpr Inc,APOG,105283800
Jack Creek Investment Corp Cl A,JCIC,1615987800
Akero Therapeutics Inc,AKRO,1561037400
Loews Corp,L,322151400
Fleetcor Technologies,FLT,1292423400
Medtech Acquisition Corp Cl A,MTAC,1612794600
Dxc Technology Company,DXC,378657000
Apexigen Inc,APGN,1614004200
China Natural Res,CHNR,807802200
Ag Mortgage Investment Trust,MITT,1309440600
Flame Acquisition Corp Cl A,FLME,1618839000
Dbv Technologies ADR,DBVT,1413984600
Nasdaq Biotechnology Ishares ETF,IBB,981988200
Je Cleantech Holdings Limited,JCSE,1650634200
S&P Smallcap Health Care Invesco ETF,PSCH,1270647000
Mercurity Fintech Holding Inc ADR,MFH,1428499800
Livewire Group Inc,LVWR,1606228200
Altus Power Inc,AMPS,1612189800
Owens & Minor,OMI,322151400
Satellogic Inc Cl A,SATL,1616765400
Doordash Inc Cl A,DASH,1607524200
Coca Cola Femsa S.A.B. DE C.V. ADR,KOF,748013400
Terawulf Inc,WULF,765552600
Loma Negra Comp Indu Argentina Sociedad,LOMA,1509543000
Chimerix Inc,CMRX,1365687000
Sonnet Biotherapeutics Holdings Inc,SONN,1162305000
Cerence Inc,CRNC,1568640600
Spok Holdings Inc,SPOK,1100701800
Camden Property Trust,CPT,743347800
Appfolio Cl A,APPF,1435325400
Ceva Inc,CEVA,1036161000
Cherry Hill Mortgage Investmen,CHMI,1380893400
Bok Financial Corp,BOKF,684077400
Denali Therapeutics Inc,DNLI,1512743400
Midatech Pharma ADR,MTP,1449498600
L.S. Starrett Company,SCX,99153000
Twilio,TWLO,1466688600
Vitru Ltd,VTRU,1600435800
Tiptree Fncl Cl A,TIPT,1287149400
Domino's Pizza Inc,DPZ,1089725400
Illumina Inc,ILMN,964791000
Four Corners Property Trust IN,FCPT,1447165800
FT High Yield Opportunities 2027 Term F,FTHY,1593178200
Ngl Energy Partners LP,NGL,1305552600
Corteva Inc,CTVA,1558704600
Oil States International,OIS,981729000
John B Sanfilippo,JBSS,691857000
Brookfield Business Corp,BBUC,1646663400
Franklin Wireless Co.,FKWL,1186147800
Gds Holdings Ltd ADR,GDS,1478093400
Gulfport Energy Corp,GPOR,1621344600
VOYA Global Advantage and Premium,IGA,1130419800
Jaguar Global Growth Corp I Cl A,JGGC,1649079000
Federal Realty Investment Trust,FRT,105283800
Lsb Industries Inc,LXU,315671400
Alnylam Pharmaceuticals,ALNY,1086096600
National Cinemedia,NCMI,1170945000
Olaplex Holdings Inc,OLPX,1633008600
Zto Express Cayman Inc ADR,ZTO,1477575000
Rocket Pharmaceuticals Inc,RCKT,1424269800
Applied Dna Scns,APDN,1058275800
Bogota Financial Corp,BSBK,1579185000
Artara Therapeutics Inc,TARA,1413984600
FT MLP and Energy Inc,FEI,1354113000
Mitcham Industries Inc,MIND,787847400
Voxeljet Ag ADR,VJET,1382103000
Bgc Partners Cl A,BGCP,944836200
Pimco California Muni,PCQ,993648600
Ncino Inc,NCNO,1594733400
Arch Resources Inc,ARCH,1475674200
Intergroup Cp The,INTG,322151400
Inseego Corp,INSG,974817000
Idex Biometrics ASA ADR,IDBA,1614609000
Northrim Bancorp Inc,NRIM,658679400
Moneylion Inc,ML,1597411800
Aot Growth and Innovation ETF,AOTG,1656509400
An2 Therapeutics Inc,ANTX,1648215000
Quince Therapeutics Inc,QNCX,1557408600
Investors Title Company,ITIC,534004200
Abcam Plc ADR,ABCM,1603373400
Imperial Petroleum Inc,IMPP,1638801000
Allbirds Inc Cl A,BIRD,1635946200
Cymabay Therapeutics,CBAY,1391437800
GT Biopharma Inc,GTBP,1522157400
Invesco High Income 2024 Target Term,IHTA,1512052200
Oshkosh Truck Corp,OSK,497107800
Aridis Pharmaceuticals Inc,ARDS,1534253400
Connectone Bancorp,CNOB,765466200
Xpel Technologies,XPEL,1561987800
Bilibili Inc ADR,BILI,1522243800
Middleby Corp,MIDD,555600600
Delta Air Lines Inc,DAL,1178199000
Msd Acquisition Corp Cl A,MSDA,1621949400
Industrial Tech Acquisitions II Cl A,ITAQ,1646404200
Axs -2X Pfe Daily ETF,PFES,1657805400
The Realreal Inc,REAL,1561728600
Safeguard Scientifics,SFE,322151400
GX Blockchain ETF,BKCH,1626269400
Gaiam Inc,GAIA,941203800
Brookline Bancorp,BRKL,890836200
Calithera Biosci Com,CALA,1412256600
Liveone Inc,LVO,1503063000
Flexsteel Inds,FLXS,322151400
Immutep Ltd ADR,IMMP,1334842200
Hilton Inc,HLT,1386858600
Ikena Oncology Inc,IKNA,1616765400
Netscout Systems,NTCT,934464600
Mamamancini's Holdin,MMMB,1626701400
Sharplink Gaming Ltd,SBET,864221400
Burlington Stores Inc,BURL,1380720600
PPL Corp,PPL,322151400
Okta Inc Cl A,OKTA,1491571800
Smartrent Inc,SMRT,1629898200
Springworks Therapeutics Inc,SWTX,1568381400
Viking Thera,VKTX,1430227800
Ies Holdings,IESC,885997800
Anavex Lf SC,AVXL,1154525400
The Necessity Retail REIT Inc,RTL,1532007000
SLM Corp,SLM,433171800
Verra Mobility Corp,VRRM,1490362200
Colgate-Palmolive Company,CL,105197400
Zentalis Pharmaceuticals Inc,ZNTL,1585920600
Heartland Finl USA,HTLF,915460200
Despegar.com Corp,DESP,1505914200
Context Therapeutics Inc,CNTX,1634736600
Butterfly Network Inc,BFLY,1594647000
Claros Mortgage Trust Inc,CMTG,1635946200
Logicmark Inc,LGMK,1377264600
Privia Health Group Inc,PRVA,1619616600
Entertainment Properties Trust,EPR,879863400
Diamondback Energy,FANG,1350048600
Cloudflare Inc Cl A,NET,1568381400
Opera Ltd ADR,OPRA,1532698200
Hudbay Minerals Inc,HBM,1234535400
Fastenal Company,FAST,556464600
Renasant Corp,RNST,704122200
Global Ex-US Real Estate Vanguard,VNQI,1288618200
Buckle Inc,BKE,705331800
Pacer Trendpilot 100 ETF,PTNQ,1434115800
Decibel Therapeutics Inc,DBTX,1613140200
Titan Medical Inc,TMDI,1262701800
Oak Valley Bancp CA,OVLY,1066224600
Ishares Ibonds Dec 2028 Term Treasury,IBTI,1582900200
United Maritime Corp,USEA,1657114200
Blue Hat Interactive Entertainment Tech,BHAT,1564147800
Collegium Pharma,COLL,1431005400
Renren Inc ADR,RENN,1304515800
Haynes Intl Inc,HAYN,1174483800
Kar Auction Services Inc,KAR,1260541800
Gritstone Bio Inc,GRTS,1538141400
Park Hotels & Resorts Inc,PK,1483540200
Adtheorent Holding Inc,ADTH,1618925400
Associated Capital Group Inc,AC,1447165800
Community Healthcare Trust Inc,CHCT,1432128600
Axogen Inc,AXGN,535213800
Outlook Therapeutics Inc,OTLK,1465911000
Nuvve Hldg Corp,NVVE,1588339800
Kopin Cp,KOPN,703344600
National Retail Properties,NNN,466176600
Clean Earth Acquisitions Corp. Cl A,CLIN,1650461400
Caribou Biosciences Inc,CRBU,1627047000
Ishares Ibonds Dec 2032 Term Treasury,IBTM,1657287000
Quhuo Ltd ADR,QH,1594387800
Urstadt Biddle Properties Inc,UBA,903360600
Par Technology Corp,PAR,407773800
J B Hunt Transport,JBHT,438359400
First Pactrust Bancorp,BANC,1030109400
Assured Guaranty Ltd,AGO,1082727000
Robert Half International Inc,RHI,322151400
Lamf Global Ventures Corp I Cl A,LGVC,1641220200
Lee Enterprises Inc,LEE,322151400
Daily Tsla Bull 1.5X ETF Direxion,TSLL,1660051800
NiSource Inc,NIMC,1618407000
Rivernorth Managed Duration Municipal,RMM,1564147800
Nextplay Technologies Inc,NXTP,1435757400
Quipt Home Medical Corp,QIPT,1281447000
Bayfirst Financial Corp,BAFN,1610116200
Blackrock Inc,BLK,938784600
3D Systems Corp,DDD,574007400
Bullfrog Ai Holdings Inc,BFRG,1676298600
Unifirst Corp,UNF,443111400
Hall of Fame Resort & Ent,HOFV,1520947800
Archer Daniels Midland,ADM,322151400
Gamestop Corp,GME,1013610600
Xenia Hotels & Resorts Inc,XHR,1423060200
Siren Nasdaq Nexgen Economy ETF,BLCN,1516199400
Vaneck Video Gaming and Esports ETF,ESPO,1539783000
Cassava Sciences Inc,SAVA,963581400
Sanmina Corp,SANM,734794200
BP Prudhoe Bay Royalty Trust,BPT,611933400
Dynatronics Cp,DYNT,439137000
Iteris Inc,ITI,757693800
Lifeway Foods Inc,LWAY,599409000
Catalent Inc,CTLT,1406813400
Monarch Casino,MCRI,744643800
Nasdaq Global Auto Index Fund,CARZ,1305034200
Ishares Ibonds Dec 2026 Term Treasury,IBTG,1582900200
Precision Drilling Corp,PDS,848068200
Medicenna Therapeutics Corp,MDNA,1510583400
New Oriental Education & Technology,EDU,1158327000
Bentley Systems Inc Cl B,BSY,1600867800
Orion Group Holdings Inc,ORN,1198161000
Carbon Collective Climate Solutions U.S.,CCSO,1663767000
Acadia Realty Trust,AKR,738509400
Select Medical Holdings Corp,SEM,1253885400
Blackboxstocks Inc,BLBX,1470058200
Propetro Holding Corp,PUMP,1489757400
Wisdomtree China Ex-Cso Fund,CXSE,1348147800
China Sxt Pharmaceuticals Inc,SXTC,1546612200
Concord Acquisition Corp II Cl A,CNDA,1634909400
Lehman Abs Corp,JBK,1081171800
Trinet Group Inc,TNET,1395927000
Acushnet Holdings Corp,GOLF,1477661400
Revolve Group Inc,RVLV,1559914200
CEF Income Opportunity ETF FT,FCEF,1475155800
Valhi Inc,VHI,322151400
The Pennant Group Inc,PNTG,1569936600
Osiris Acquisition Corp Cl A,OSI,1625578200
D and Z Media Acquisition Corp Cl A,DNZ,1616506200
Assembly Biosciences,ASMB,1292596200
Chenghe Acquisition Cl A,CHEA,1656423000
Phoenix Motor Inc,PEV,1654695000
Viad Corp,VVI,1087911000
Western Digital Cp,WDC,278692200
Columbia Banking Sys,COLB,708701400
Cns Pharmaceuticals Inc,CNSP,1573223400
Axs 2X Nike Daily ETF,NKEL,1657805400
Frontdoor Inc,FTDR,1536845400
Tela Bio Inc,TELA,1573223400
Haemonetics Corp,HAE,673882200
Hess Midstream Partners LP,HESM,1491399000
Capricor Therap,CAPR,1171377000
Digital Ally Inc,DGLY,1179322200
Top Ships Inc,TOPS,1091453400
John Hancock Tax-Advantaged Global,HTY,1190813400
CDW Corp,CDW,1372339800
Pioneer Floating Rate Fund,PHD,1103812200
JPM Social Advancement ETF,UPWD,1664544600
Emeren Group Ltd ADR,SOL,1201617000
Lightwave Logic Inc,LWLG,1147786200
Riverfront Dyn Developed Intl ETF FT,RFDI,1460640600
Celldex Therapeutics,CLDX,516547800
1895 Bancorp of Wisconsin Inc,BCOW,1547044200
Neuronetics Inc,STIM,1530192600
Cementos Pacasmayo S.A.A ADR,CPAC,1329921000
M&T Bank Corp,MTB,322151400
Ap Acquisition Corp Cl A,APCA,1644244200
Nova Ltd,NVMI,955459800
Mattel Inc,MAT,203866200
Apartment Investment and Management,AIV,774883800
Affimed N.V.,AFMD,1410528600
Howmet Aerospace Inc,HWM,-252322200
Wavedancer Inc,WAVD,765639000
Dte Energy Company 2021 Sr E,DTG,1638369000
Phoenix New Media Ltd ADR,FENG,1305552600
Freight Technologies Inc,FRGT,1502199000
Izea Inc,IZEA,1328797800
Pop Culture Group Company Cl A,CPOP,1625059800
Enthusiast Gaming Holdings Inc,EGLX,1571664600
Pingtan Marine,PME,1312291800
RBC Bearings Inc,RBCP,1632317400
Carvana Company Cl A,CVNA,1493386200
Fiscalnote Hldgs Inc,NOTE,1607351400
Pinnacle Finl Ptnrs,PNFP,966951000
Natural Gas Services Group,NGS,1035293400
Good Times Rest,GTIM,710688600
Denali Capital Acquisition Cl A,DECA,1654608600
Invesco Muni Trust,VKQ,690733800
Alarm.com,ALRM,1435325400
GX E-Commerce ETF,EBIZ,1543588200
Fidelity National Financial,FNF,1129296600
Alpine Summit Energy Partners Cl A,ALPS,1664371800
Ponce Financial Group Inc,PDLB,1506951000
Thor Low Volatility ETF,THLV,1663075800
Nymox Pharm Corp,NYMX,882801000
Coca-Cola Europacific Partners Plc,CCEP,533226600
Wayfair Inc,W,1412256600
Sai.Tech Global Corp,SAI,1624887000
Staar Surgical Company,STAA,698941800
Independent Bk Corp,INDB,516461400
Isoplexis Corp,ISO,1633699800
Mongodb Inc Cl A,MDB,1508419800
Biomerica Inc,BMRA,463411800
Atlassian Corp,TEAM,1449671400
Vincera Pharma Inc,VINC,1590586200
Reliance Global Group,RELI,1612881000
Service Corp International,SCI,322151400
Akari Therapeutics ADR,AKTX,1389018600
Omnilit Acquisition Corp Cl A,OLIT,1643207400
Gracell Biotechnologies Inc ADR,GRCL,1610116200
Unicycive Therapeutics Inc,UNCY,1626096600
Universe Pharmaceuticals Inc,UPC,1616506200
Altimmune Inc,ALT,1495805400
Pardes Biosciences Inc,PRDS,1613572200
Rani Therapeutics Holdings Inc Cl A,RANI,1627651800
Physicians Realty Trust,DOC,1374240600
Brp Group Inc Cl A,BRP,1571923800
Byrna Technologies Inc,BYRN,1158067800
Duluth Holdings Cl B,DLTH,1448029800
Contrafect,CFRX,1410528600
Zhongchao Inc Cl A,ZCMD,1582641000
Nuveen Senior,NSL,941031000
Airbnb Inc Cl A,ABNB,1607610600
Western Asset Emerging Market Debt Fund,EMD,1070548200
Regulus Therapeutics,RGLS,1349789400
Cardinal Health,CAH,428851800
Yirendai Ltd ADR,YRD,1450449000
Forza X1 Inc,FRZA,1660311000
Verrica Pharmaceuticals Inc,VRCA,1529069400
Wimi Hologram Cloud Inc ADR,WIMI,1585747800
USAA Core Intermediate-Term Bond ETF,UITB,1509111000
Procure Disaster Recovery Strategy ETF,FEMA,1654090200
Freeline Therapeutics Holdings Plc Adss,FRLN,1596807000
Prothena Corp,PRTA,1355841000
Intercorp Financial Services Inc,IFS,1561987800
Advisorshares D.W. Micro-Cap ETF,DWMC,1531315800
Talis Biomedical Corp,TLIS,1613140200
Shattuck Labs Inc,STTK,1602250200
Godaddy Inc,GDDY,1427808600
GX Blockchain & Bitcoin Strategy ETF,BITS,1637073000
Byline Bancorp Inc,BY,1498829400
Pfizer Inc,PFE,76253400
Intra-Cellular Ther,ITCI,1389105000
